"a" "b" "c" "id"
"301" 1.03482 -0.88051 0 301
"302" 1.03488 0.76953 0 302
"303" 1.03526 -1.04175 0 303
"304" 1.03646 1.10223 0 304
"305" 1.03709 -0.31363 0 305
"306" 1.03989 -0.28632 0 306
"307" 1.04257 0.26126 0 307
"308" 1.04316 1.36916 0 308
"309" 1.04388 -0.86963 0 309
"310" 1.04611 -0.28199 0 310
"311" 1.04639 -0.33288 0 311
"312" 1.04856 -0.54552 0 312
"313" 1.04906 1.06512 0 313
"314" 1.04974 -1.52361 0 314
"315" 1.05057 0.00721 0 315
"316" 1.0513 -0.42485 0 316
"317" 1.05182 -0.8574 0 317
"318" 1.05456 1.03397 0 318
"319" 1.05496 1.42573 0 319
"320" 1.0581 -0.00517 0 320
"321" 1.0591 0.68194 0 321
"322" 1.06017 -0.72733 0 322
"323" 1.06156 0.84807 0 323
"324" 1.06184 -0.21481 0 324
"325" 1.07413 1.56668 0 325
"326" 1.07616 0.47717 0 326
"327" 1.07678 0.33468 0 327
"328" 1.07703 0.10821 0 328
"329" 1.07761 -1.80093 0 329
"330" 1.08299 1.89548 0 330
"331" 1.08317 1.63723 0 331
"332" 1.08505 0.08778 0 332
"333" 1.09337 1.16408 0 333
"334" 1.09601 0.42023 0 334
"335" 1.09679 0.61871 0 335
"336" 1.09805 -0.83985 0 336
"337" 1.09942 1.0668 0 337
"338" 1.09982 1.26498 0 338
"339" 1.10158 -0.58981 0 339
"340" 1.10398 -0.49798 0 340
"341" 1.10462 1.38519 0 341
"342" 1.10558 0.78994 0 342
"343" 1.10676 -0.17799 0 343
"344" 1.10679 -0.9526 0 344
"345" 1.10842 0.89103 0 345
"346" 1.1107 1.27411 0 346
"347" 1.11255 1.19001 0 347
"348" 1.11338 0.42592 0 348
"349" 1.11736 -0.30639 0 349
"350" 1.11888 1.16307 0 350
"351" 1.11959 -0.50071 0 351
"352" 1.1216 1.02455 0 352
"353" 1.1236 0.3912 0 353
"354" 1.12474 -0.73273 0 354
"355" 1.12488 0.27889 0 355
"356" 1.12497 1.1333 0 356
"357" 1.12657 -0.82319 0 357
"358" 1.12844 -0.21977 0 358
"359" 1.12903 -0.30619 0 359
"360" 1.12935 -0.62206 0 360
"361" 1.136 1.22973 0 361
"362" 1.13916 -0.71778 0 362
"363" 1.13954 0.36462 0 363
"364" 1.1423 0.71781 0 364
"365" 1.14715 0.03379 0 365
"366" 1.14957 0.38003 0 366
"367" 1.15086 0.45872 0 367
"368" 1.15132 0.80285 0 368
"369" 1.15296 0.85819 0 369
"370" 1.15505 1.60428 0 370
"371" 1.15745 -0.65879 0 371
"372" 1.16006 0.68809 0 372
"373" 1.16201 0.72768 0 373
"374" 1.16387 2.15363 0 374
"375" 1.16436 -0.4441 0 375
"376" 1.16479 -2.03831 0 376
"377" 1.17025 0.45691 0 377
"378" 1.17244 1.98058 0 378
"379" 1.17343 -0.57232 0 379
"380" 1.17439 0.86955 0 380
"381" 1.17484 0.33833 0 381
"382" 1.17495 0.07962 0 382
"383" 1.17917 0.07272 0 383
"384" 1.1812 0.63956 0 384
"385" 1.18369 0.01594 0 385
"386" 1.18585 0.70105 0 386
"387" 1.1866 1.13169 0 387
"388" 1.18843 -0.70224 0 388
"389" 1.19111 2.0942 0 389
"390" 1.19237 0.89363 0 390
"391" 1.19394 -1.48922 0 391
"392" 1.19578 1.10008 0 392
"393" 1.19668 1.02917 0 393
"394" 1.19743 0.33261 0 394
"395" 1.19768 1.59843 0 395
"396" 1.20329 1.07946 0 396
"397" 1.21324 1.18658 0 397
"398" 1.21359 1.07058 0 398
"399" 1.215 0.36699 0 399
"400" 1.21588 -0.89073 0 400
"401" 1.22248 0.17149 0 401
"402" 1.22305 0.48354 0 402
"403" 1.22525 0.92805 0 403
"404" 1.22544 -0.25279 0 404
"405" 1.22969 -0.45593 0 405
"406" 1.22999 0.36537 0 406
"407" 1.23016 -0.52638 0 407
"408" 1.23127 -0.33204 0 408
"409" 1.24041 1.17914 0 409
"410" 1.2409 1.04773 0 410
"411" 1.25076 1.10857 0 411
"412" 1.25393 1.45423 0 412
"413" 1.25473 0.08062 0 413
"414" 1.25574 0.23806 0 414
"415" 1.26135 0.58128 0 415
"416" 1.26231 0.48931 0 416
"417" 1.2634 1.21517 0 417
"418" 1.26475 0.93608 0 418
"419" 1.26571 0.65009 0 419
"420" 1.26671 -0.73878 0 420
"421" 1.27051 1.44295 0 421
"422" 1.27334 -0.02437 0 422
"423" 1.27343 1.19607 0 423
"424" 1.27464 1.1593 0 424
"425" 1.2753 -0.35556 0 425
"426" 1.27587 -0.64162 0 426
"427" 1.27674 0.74174 0 427
"428" 1.28114 0.01821 0 428
"429" 1.29251 1.23662 0 429
"430" 1.29281 1.21683 0 430
"431" 1.29348 1.86568 0 431
"432" 1.29751 0.57419 0 432
"433" 1.316 0.146 0 433
"434" 1.31617 0.8492 0 434
"435" 1.31955 0.50102 0 435
"436" 1.32055 1.19612 0 436
"437" 1.32331 1.19216 0 437
"438" 1.32913 0.79736 0 438
"439" 1.32984 0.75319 0 439
"440" 1.33222 -0.27204 0 440
"441" 1.33263 0.87751 0 441
"442" 1.33435 0.04162 0 442
"443" 1.33703 0.25385 0 443
"444" 1.34186 1.01535 0 444
"445" 1.34958 1.30612 0 445
"446" 1.35178 0.73469 0 446
"447" 1.35376 0.9669 0 447
"448" 1.35405 1.83897 0 448
"449" 1.3578 1.30575 0 449
"450" 1.36419 2.80659 0 450
"451" 1.37054 -0.28484 0 451
"452" 1.37897 -0.29022 0 452
"453" 1.37958 1.37586 0 453
"454" 1.3803 0.73362 0 454
"455" 1.38065 1.04566 0 455
"456" 1.38523 0.56324 0 456
"457" 1.39333 1.08813 0 457
"458" 1.3998 0.11137 0 458
"459" 1.4003 1.69203 0 459
"460" 1.40192 0.42905 0 460
"461" 1.40653 0.86942 0 461
"462" 1.41056 1.22209 0 462
